Roll_No,Name,Year,Branch,Division,UserName,Password,City
45,WUD,1st,Mech,A,1st_Mech_45,1st_Mech_45,Mumbai
46,MWN,1st,Mech,A,1st_Mech_46,1st_Mech_46,Mumbai
47,BDM,1st,Mech,A,1st_Mech_47,1st_Mech_47,Dhule
48,LST,1st,Mech,A,1st_Mech_48,1st_Mech_48,Shirpur
49,VHP,1st,Mech,A,1st_Mech_49,1st_Mech_49,Mumbai
50,JWS,1st,Mech,A,1st_Mech_50,1st_Mech_50,Pune
51,OQM,1st,Mech,A,1st_Mech_51,1st_Mech_51,Mumbai
52,XFZ,1st,Mech,A,1st_Mech_52,1st_Mech_52,Amalner
53,ATU,1st,Mech,A,1st_Mech_53,1st_Mech_53,Pachora
54,TMO,1st,Mech,A,1st_Mech_54,1st_Mech_54,Chalisgaon
55,ZJT,1st,Mech,A,1st_Mech_55,1st_Mech_55,Dharangaon
56,YSN,1st,Mech,A,1st_Mech_56,1st_Mech_56,Pune
57,CCU,1st,Mech,A,1st_Mech_57,1st_Mech_57,Dhule
58,EAN,1st,Mech,A,1st_Mech_58,1st_Mech_58,Dhule
59,RIY,1st,Mech,A,1st_Mech_59,1st_Mech_59,Pachora
60,HSB,1st,Mech,A,1st_Mech_60,1st_Mech_60,Amalner
61,TUL,1st,Mech,B,1st_Mech_61,1st_Mech_61,Pachora
62,EAE,1st,Mech,B,1st_Mech_62,1st_Mech_62,Chopda
63,SIE,1st,Mech,B,1st_Mech_63,1st_Mech_63,Pachora
64,ZXH,1st,Mech,B,1st_Mech_64,1st_Mech_64,Pachora
65,LCC,1st,Mech,B,1st_Mech_65,1st_Mech_65,Dharangaon
66,QFB,1st,Mech,B,1st_Mech_66,1st_Mech_66,Parola
67,RYK,1st,Mech,B,1st_Mech_67,1st_Mech_67,Pune
68,LVO,1st,Mech,B,1st_Mech_68,1st_Mech_68,Shindkheda
69,UKI,1st,Mech,B,1st_Mech_69,1st_Mech_69,Dharangaon
70,SAM,1st,Mech,B,1st_Mech_70,1st_Mech_70,Dhule
71,OUC,1st,Mech,B,1st_Mech_71,1st_Mech_71,Chalisgaon
72,TVX,1st,Mech,B,1st_Mech_72,1st_Mech_72,Pachora
73,UCJ,1st,Mech,B,1st_Mech_73,1st_Mech_73,Amalner
74,SUZ,1st,Mech,B,1st_Mech_74,1st_Mech_74,Chopda
75,CHZ,1st,Mech,B,1st_Mech_75,1st_Mech_75,Dhule
76,WSA,1st,Mech,B,1st_Mech_76,1st_Mech_76,Shindkheda
77,BEN,1st,Mech,B,1st_Mech_77,1st_Mech_77,Bhadgaon
78,QRQ,1st,Mech,B,1st_Mech_78,1st_Mech_78,Amalner
79,MPB,1st,Mech,B,1st_Mech_79,1st_Mech_79,Chalisgaon
80,FFJ,1st,Mech,B,1st_Mech_80,1st_Mech_80,Chopda
81,YKX,1st,Mech,B,1st_Mech_81,1st_Mech_81,Mumbai
82,MGI,1st,Mech,B,1st_Mech_82,1st_Mech_82,Dhule
83,SQD,1st,Mech,B,1st_Mech_83,1st_Mech_83,Parola
84,MHL,1st,Mech,B,1st_Mech_84,1st_Mech_84,Dhule
85,TBK,1st,Mech,B,1st_Mech_85,1st_Mech_85,Pune
86,PAF,1st,Mech,B,1st_Mech_86,1st_Mech_86,Bhadgaon
87,IAB,1st,Mech,B,1st_Mech_87,1st_Mech_87,Dharangaon
88,INP,1st,Mech,B,1st_Mech_88,1st_Mech_88,Chopda
89,ACM,1st,Mech,B,1st_Mech_89,1st_Mech_89,Dharangaon
90,WGJ,1st,Mech,B,1st_Mech_90,1st_Mech_90,Dhule
91,RTE,1st,Mech,B,1st_Mech_91,1st_Mech_91,Dharangaon
92,VXL,1st,Mech,B,1st_Mech_92,1st_Mech_92,Chalisgaon
93,XES,1st,Mech,B,1st_Mech_93,1st_Mech_93,Dharangaon
94,KEX,1st,Mech,B,1st_Mech_94,1st_Mech_94,Shirpur
95,ADM,1st,Mech,B,1st_Mech_95,1st_Mech_95,Pachora
96,IXZ,1st,Mech,B,1st_Mech_96,1st_Mech_96,Mumbai
97,SGS,1st,Mech,B,1st_Mech_97,1st_Mech_97,Shindkheda
98,QMP,1st,Mech,B,1st_Mech_98,1st_Mech_98,Parola
99,CJY,1st,Mech,B,1st_Mech_99,1st_Mech_99,Parola
100,WFO,1st,Mech,B,1st_Mech_100,1st_Mech_100,Pachora
101,BAP,1st,Mech,B,1st_Mech_101,1st_Mech_101,Chalisgaon
102,IDN,1st,Mech,B,1st_Mech_102,1st_Mech_102,Dhule
103,CAT,1st,Mech,B,1st_Mech_103,1st_Mech_103,Amalner
104,IOE,1st,Mech,B,1st_Mech_104,1st_Mech_104,Pachora
105,BJD,1st,Mech,B,1st_Mech_105,1st_Mech_105,Shindkheda
106,XDX,1st,Mech,B,1st_Mech_106,1st_Mech_106,Amalner
107,MZP,1st,Mech,B,1st_Mech_107,1st_Mech_107,Dharangaon
108,FAA,1st,Mech,B,1st_Mech_108,1st_Mech_108,Shirpur
109,ITE,1st,Mech,B,1st_Mech_109,1st_Mech_109,Chalisgaon
110,MQC,1st,Mech,B,1st_Mech_110,1st_Mech_110,Dhule
111,VKS,1st,Mech,B,1st_Mech_111,1st_Mech_111,Parola
112,QMJ,1st,Mech,B,1st_Mech_112,1st_Mech_112,Pachora
113,PGZ,1st,Mech,B,1st_Mech_113,1st_Mech_113,Mumbai
114,JUP,1st,Mech,B,1st_Mech_114,1st_Mech_114,Dharangaon
115,EUN,1st,Mech,B,1st_Mech_115,1st_Mech_115,Dharangaon
116,TYT,1st,Mech,B,1st_Mech_116,1st_Mech_116,Pachora
117,CMM,1st,Mech,B,1st_Mech_117,1st_Mech_117,Parola
118,QCD,1st,Mech,B,1st_Mech_118,1st_Mech_118,Chalisgaon
119,JWT,1st,Mech,B,1st_Mech_119,1st_Mech_119,Shindkheda
120,JZQ,1st,Mech,B,1st_Mech_120,1st_Mech_120,Dharangaon
121,RZN,1st,Mech,C,1st_Mech_121,1st_Mech_121,Mumbai
122,RWJ,1st,Mech,C,1st_Mech_122,1st_Mech_122,Shirpur
123,TYO,1st,Mech,C,1st_Mech_123,1st_Mech_123,Chopda
124,ZNA,1st,Mech,C,1st_Mech_124,1st_Mech_124,Dharangaon
125,CPT,1st,Mech,C,1st_Mech_125,1st_Mech_125,Amalner
126,JMH,1st,Mech,C,1st_Mech_126,1st_Mech_126,Chopda
127,CZU,1st,Mech,C,1st_Mech_127,1st_Mech_127,Pune
128,OPW,1st,Mech,C,1st_Mech_128,1st_Mech_128,Bhadgaon
129,UYD,1st,Mech,C,1st_Mech_129,1st_Mech_129,Pune
130,VIQ,1st,Mech,C,1st_Mech_130,1st_Mech_130,Parola
131,ZGV,1st,Mech,C,1st_Mech_131,1st_Mech_131,Chalisgaon
132,POS,1st,Mech,C,1st_Mech_132,1st_Mech_132,Shindkheda
133,JKN,1st,Mech,C,1st_Mech_133,1st_Mech_133,Pachora
134,SDE,1st,Mech,C,1st_Mech_134,1st_Mech_134,Dhule
135,ACC,1st,Mech,C,1st_Mech_135,1st_Mech_135,Amalner
136,TWB,1st,Mech,C,1st_Mech_136,1st_Mech_136,Pachora
137,KLE,1st,Mech,C,1st_Mech_137,1st_Mech_137,Shindkheda
138,BFU,1st,Mech,C,1st_Mech_138,1st_Mech_138,Dharangaon
139,XNY,1st,Mech,C,1st_Mech_139,1st_Mech_139,Pachora
140,SQQ,1st,Mech,C,1st_Mech_140,1st_Mech_140,Dharangaon
141,CUD,1st,Mech,C,1st_Mech_141,1st_Mech_141,Pachora
142,GZO,1st,Mech,C,1st_Mech_142,1st_Mech_142,Shindkheda
143,YSE,1st,Mech,C,1st_Mech_143,1st_Mech_143,Chopda
144,EPW,1st,Mech,C,1st_Mech_144,1st_Mech_144,Chopda
145,QIX,1st,Mech,C,1st_Mech_145,1st_Mech_145,Chalisgaon
146,YYX,1st,Mech,C,1st_Mech_146,1st_Mech_146,Parola
147,ZDC,1st,Mech,C,1st_Mech_147,1st_Mech_147,Pune
148,BJF,1st,Mech,C,1st_Mech_148,1st_Mech_148,Chalisgaon
149,DJU,1st,Mech,C,1st_Mech_149,1st_Mech_149,Pune
150,VYN,1st,Mech,C,1st_Mech_150,1st_Mech_150,Shirpur
151,QDW,1st,Mech,C,1st_Mech_151,1st_Mech_151,Dharangaon
152,NLP,1st,Mech,C,1st_Mech_152,1st_Mech_152,Dharangaon
153,LRW,1st,Mech,C,1st_Mech_153,1st_Mech_153,Shirpur
154,SFL,1st,Mech,C,1st_Mech_154,1st_Mech_154,Pune
155,BDT,1st,Mech,C,1st_Mech_155,1st_Mech_155,Amalner
156,PFC,1st,Mech,C,1st_Mech_156,1st_Mech_156,Dhule
157,MZW,1st,Mech,C,1st_Mech_157,1st_Mech_157,Dharangaon
158,GLB,1st,Mech,C,1st_Mech_158,1st_Mech_158,Amalner
159,SSF,1st,Mech,C,1st_Mech_159,1st_Mech_159,Parola
160,RZV,1st,Mech,C,1st_Mech_160,1st_Mech_160,Dhule
161,ELC,1st,Mech,C,1st_Mech_161,1st_Mech_161,Chalisgaon
162,ZXP,1st,Mech,C,1st_Mech_162,1st_Mech_162,Shirpur
163,UCA,1st,Mech,C,1st_Mech_163,1st_Mech_163,Parola
164,ERL,1st,Mech,C,1st_Mech_164,1st_Mech_164,Shindkheda
165,PUG,1st,Mech,C,1st_Mech_165,1st_Mech_165,Chalisgaon
166,FJL,1st,Mech,C,1st_Mech_166,1st_Mech_166,Dhule
167,KTJ,1st,Mech,C,1st_Mech_167,1st_Mech_167,Amalner
168,RGW,1st,Mech,C,1st_Mech_168,1st_Mech_168,Bhadgaon
169,QHM,1st,Mech,C,1st_Mech_169,1st_Mech_169,Shindkheda
170,GQK,1st,Mech,C,1st_Mech_170,1st_Mech_170,Amalner
171,OWQ,1st,Mech,C,1st_Mech_171,1st_Mech_171,Pune
172,MXH,1st,Mech,C,1st_Mech_172,1st_Mech_172,Pune
173,OBF,1st,Mech,C,1st_Mech_173,1st_Mech_173,Shirpur
174,CCU,1st,Mech,C,1st_Mech_174,1st_Mech_174,Chopda
175,YYE,1st,Mech,C,1st_Mech_175,1st_Mech_175,Shindkheda
176,HAY,1st,Mech,C,1st_Mech_176,1st_Mech_176,Dharangaon
177,JQJ,1st,Mech,C,1st_Mech_177,1st_Mech_177,Chopda
178,PHS,1st,Mech,C,1st_Mech_178,1st_Mech_178,Chalisgaon
179,PQN,1st,Mech,C,1st_Mech_179,1st_Mech_179,Dhule
180,UBE,1st,Mech,C,1st_Mech_180,1st_Mech_180,Dhule
1,BSG,1st,Etc,A,1st_Etc_1,1st_Etc_1,Pune
2,FYN,1st,Etc,A,1st_Etc_2,1st_Etc_2,Chopda
3,UAG,1st,Etc,A,1st_Etc_3,1st_Etc_3,Dhule
4,DPN,1st,Etc,A,1st_Etc_4,1st_Etc_4,Pachora
5,IMU,1st,Etc,A,1st_Etc_5,1st_Etc_5,Dhule
6,XZZ,1st,Etc,A,1st_Etc_6,1st_Etc_6,Pachora
7,DIC,1st,Etc,A,1st_Etc_7,1st_Etc_7,Dharangaon
8,XGJ,1st,Etc,A,1st_Etc_8,1st_Etc_8,Pachora
9,HGV,1st,Etc,A,1st_Etc_9,1st_Etc_9,Chalisgaon
10,COL,1st,Etc,A,1st_Etc_10,1st_Etc_10,Shindkheda
11,LMW,1st,Etc,A,1st_Etc_11,1st_Etc_11,Chalisgaon
12,FGE,1st,Etc,A,1st_Etc_12,1st_Etc_12,Parola
13,NMX,1st,Etc,A,1st_Etc_13,1st_Etc_13,Pune
14,GLI,1st,Etc,A,1st_Etc_14,1st_Etc_14,Amalner
15,ZXS,1st,Etc,A,1st_Etc_15,1st_Etc_15,Dhule
16,SZU,1st,Etc,A,1st_Etc_16,1st_Etc_16,Pachora
17,KCX,1st,Etc,A,1st_Etc_17,1st_Etc_17,Shindkheda
18,RJP,1st,Etc,A,1st_Etc_18,1st_Etc_18,Chalisgaon
19,GJB,1st,Etc,A,1st_Etc_19,1st_Etc_19,Shirpur
20,BIT,1st,Etc,A,1st_Etc_20,1st_Etc_20,Dharangaon
21,XKJ,1st,Etc,A,1st_Etc_21,1st_Etc_21,Amalner
22,CSZ,1st,Etc,A,1st_Etc_22,1st_Etc_22,Pachora
23,AFL,1st,Etc,A,1st_Etc_23,1st_Etc_23,Bhadgaon
24,ZZT,1st,Etc,A,1st_Etc_24,1st_Etc_24,Chopda
25,NGD,1st,Etc,A,1st_Etc_25,1st_Etc_25,Chalisgaon
26,DNM,1st,Etc,A,1st_Etc_26,1st_Etc_26,Pune
27,QTV,1st,Etc,A,1st_Etc_27,1st_Etc_27,Bhadgaon
28,QHY,1st,Etc,A,1st_Etc_28,1st_Etc_28,Chalisgaon
29,TOA,1st,Etc,A,1st_Etc_29,1st_Etc_29,Bhadgaon
30,DLE,1st,Etc,A,1st_Etc_30,1st_Etc_30,Dharangaon
31,EEP,1st,Etc,A,1st_Etc_31,1st_Etc_31,Chalisgaon
32,QLS,1st,Etc,A,1st_Etc_32,1st_Etc_32,Dhule
33,HPT,1st,Etc,A,1st_Etc_33,1st_Etc_33,Parola
34,AXA,1st,Etc,A,1st_Etc_34,1st_Etc_34,Chalisgaon
35,GWS,1st,Etc,A,1st_Etc_35,1st_Etc_35,Shirpur
36,ETU,1st,Etc,A,1st_Etc_36,1st_Etc_36,Pune
37,OQQ,1st,Etc,A,1st_Etc_37,1st_Etc_37,Dhule
38,BPW,1st,Etc,A,1st_Etc_38,1st_Etc_38,Shindkheda
39,FFN,1st,Etc,A,1st_Etc_39,1st_Etc_39,Pune
40,KZZ,1st,Etc,A,1st_Etc_40,1st_Etc_40,Parola
41,LOL,1st,Etc,A,1st_Etc_41,1st_Etc_41,Shirpur
42,WBN,1st,Etc,A,1st_Etc_42,1st_Etc_42,Dharangaon
43,WON,1st,Etc,A,1st_Etc_43,1st_Etc_43,Dharangaon
44,UAI,1st,Etc,A,1st_Etc_44,1st_Etc_44,Dhule
45,YVZ,1st,Etc,A,1st_Etc_45,1st_Etc_45,Mumbai
46,GYN,1st,Etc,A,1st_Etc_46,1st_Etc_46,Pachora
47,JJE,1st,Etc,A,1st_Etc_47,1st_Etc_47,Mumbai
48,FZE,1st,Etc,A,1st_Etc_48,1st_Etc_48,Chalisgaon
49,UKJ,1st,Etc,A,1st_Etc_49,1st_Etc_49,Dharangaon
50,GPI,1st,Etc,A,1st_Etc_50,1st_Etc_50,Bhadgaon
51,XHD,1st,Etc,A,1st_Etc_51,1st_Etc_51,Shindkheda
52,YJB,1st,Etc,A,1st_Etc_52,1st_Etc_52,Chopda
53,LXG,1st,Etc,A,1st_Etc_53,1st_Etc_53,Dharangaon
54,UXI,1st,Etc,A,1st_Etc_54,1st_Etc_54,Chopda
55,IFG,1st,Etc,A,1st_Etc_55,1st_Etc_55,Dhule
56,AYP,1st,Etc,A,1st_Etc_56,1st_Etc_56,Chopda
57,FVI,1st,Etc,A,1st_Etc_57,1st_Etc_57,Pachora
58,NTH,1st,Etc,A,1st_Etc_58,1st_Etc_58,Dhule
59,NRM,1st,Etc,A,1st_Etc_59,1st_Etc_59,Mumbai
60,EDJ,1st,Etc,A,1st_Etc_60,1st_Etc_60,Shirpur
61,MPQ,1st,Etc,B,1st_Etc_61,1st_Etc_61,Dharangaon
62,QVJ,1st,Etc,B,1st_Etc_62,1st_Etc_62,Pune
63,YXZ,1st,Etc,B,1st_Etc_63,1st_Etc_63,Chopda
64,IRC,1st,Etc,B,1st_Etc_64,1st_Etc_64,Mumbai
65,XYC,1st,Etc,B,1st_Etc_65,1st_Etc_65,Pachora
66,SMM,1st,Etc,B,1st_Etc_66,1st_Etc_66,Parola
67,GAD,1st,Etc,B,1st_Etc_67,1st_Etc_67,Shirpur
68,HZA,1st,Etc,B,1st_Etc_68,1st_Etc_68,Dharangaon
69,DIT,1st,Etc,B,1st_Etc_69,1st_Etc_69,Dhule
70,XTZ,1st,Etc,B,1st_Etc_70,1st_Etc_70,Mumbai
71,GKP,1st,Etc,B,1st_Etc_71,1st_Etc_71,Parola
72,XDI,1st,Etc,B,1st_Etc_72,1st_Etc_72,Shirpur
73,YUI,1st,Etc,B,1st_Etc_73,1st_Etc_73,Chalisgaon
74,KYT,1st,Etc,B,1st_Etc_74,1st_Etc_74,Pachora
75,WIL,1st,Etc,B,1st_Etc_75,1st_Etc_75,Chopda
76,RGT,1st,Etc,B,1st_Etc_76,1st_Etc_76,Amalner
77,IUI,1st,Etc,B,1st_Etc_77,1st_Etc_77,Chopda
78,VFW,1st,Etc,B,1st_Etc_78,1st_Etc_78,Pune
79,BMX,1st,Etc,B,1st_Etc_79,1st_Etc_79,Parola
80,RCJ,1st,Etc,B,1st_Etc_80,1st_Etc_80,Pune
81,JRP,1st,Etc,B,1st_Etc_81,1st_Etc_81,Pachora
82,BFJ,1st,Etc,B,1st_Etc_82,1st_Etc_82,Amalner
83,RYP,1st,Etc,B,1st_Etc_83,1st_Etc_83,Chopda
84,HGF,1st,Etc,B,1st_Etc_84,1st_Etc_84,Bhadgaon
85,DAW,1st,Etc,B,1st_Etc_85,1st_Etc_85,Pachora
86,SFR,1st,Etc,B,1st_Etc_86,1st_Etc_86,Chopda
87,YZW,1st,Etc,B,1st_Etc_87,1st_Etc_87,Amalner
88,AJZ,1st,Etc,B,1st_Etc_88,1st_Etc_88,Amalner
89,SJV,1st,Etc,B,1st_Etc_89,1st_Etc_89,Chalisgaon
90,ZNA,1st,Etc,B,1st_Etc_90,1st_Etc_90,Pune
91,HCY,1st,Etc,B,1st_Etc_91,1st_Etc_91,Amalner
92,GWB,1st,Etc,B,1st_Etc_92,1st_Etc_92,Pune
93,BHU,1st,Etc,B,1st_Etc_93,1st_Etc_93,Mumbai
94,PGK,1st,Etc,B,1st_Etc_94,1st_Etc_94,Shindkheda
95,YDJ,1st,Etc,B,1st_Etc_95,1st_Etc_95,Bhadgaon
96,BZT,1st,Etc,B,1st_Etc_96,1st_Etc_96,Shindkheda
97,HJF,1st,Etc,B,1st_Etc_97,1st_Etc_97,Bhadgaon
98,NKV,1st,Etc,B,1st_Etc_98,1st_Etc_98,Pachora
99,JIN,1st,Etc,B,1st_Etc_99,1st_Etc_99,Bhadgaon
100,TBD,1st,Etc,B,1st_Etc_100,1st_Etc_100,Dhule
101,TYI,1st,Etc,B,1st_Etc_101,1st_Etc_101,Mumbai
102,DTE,1st,Etc,B,1st_Etc_102,1st_Etc_102,Chopda
103,RVX,1st,Etc,B,1st_Etc_103,1st_Etc_103,Pachora
104,IME,1st,Etc,B,1st_Etc_104,1st_Etc_104,Pachora
105,JWK,1st,Etc,B,1st_Etc_105,1st_Etc_105,Parola
106,WTM,1st,Etc,B,1st_Etc_106,1st_Etc_106,Parola
107,LTE,1st,Etc,B,1st_Etc_107,1st_Etc_107,Chopda
108,NCU,1st,Etc,B,1st_Etc_108,1st_Etc_108,Parola
109,IEF,1st,Etc,B,1st_Etc_109,1st_Etc_109,Bhadgaon
110,HYZ,1st,Etc,B,1st_Etc_110,1st_Etc_110,Chopda
111,ZHD,1st,Etc,B,1st_Etc_111,1st_Etc_111,Pune
112,GPW,1st,Etc,B,1st_Etc_112,1st_Etc_112,Amalner
113,OTI,1st,Etc,B,1st_Etc_113,1st_Etc_113,Bhadgaon
114,OBD,1st,Etc,B,1st_Etc_114,1st_Etc_114,Dhule
115,XFX,1st,Etc,B,1st_Etc_115,1st_Etc_115,Parola
116,YXY,1st,Etc,B,1st_Etc_116,1st_Etc_116,Shirpur
117,KIH,1st,Etc,B,1st_Etc_117,1st_Etc_117,Shirpur
118,VBM,1st,Etc,B,1st_Etc_118,1st_Etc_118,Mumbai
119,BOO,1st,Etc,B,1st_Etc_119,1st_Etc_119,Amalner
120,RRM,1st,Etc,B,1st_Etc_120,1st_Etc_120,Bhadgaon
1,GUC,1st,Civil,A,1st_Civil_1,1st_Civil_1,Pachora
2,IFU,1st,Civil,A,1st_Civil_2,1st_Civil_2,Mumbai
3,HAV,1st,Civil,A,1st_Civil_3,1st_Civil_3,Chalisgaon
4,MUR,1st,Civil,A,1st_Civil_4,1st_Civil_4,Bhadgaon
5,KWK,1st,Civil,A,1st_Civil_5,1st_Civil_5,Bhadgaon
6,IVM,1st,Civil,A,1st_Civil_6,1st_Civil_6,Amalner
7,JAT,1st,Civil,A,1st_Civil_7,1st_Civil_7,Chopda
8,XAD,1st,Civil,A,1st_Civil_8,1st_Civil_8,Mumbai
9,XHJ,1st,Civil,A,1st_Civil_9,1st_Civil_9,Dharangaon
10,YPB,1st,Civil,A,1st_Civil_10,1st_Civil_10,Dharangaon
11,PGZ,1st,Civil,A,1st_Civil_11,1st_Civil_11,Chopda
12,ILV,1st,Civil,A,1st_Civil_12,1st_Civil_12,Amalner
13,VXC,1st,Civil,A,1st_Civil_13,1st_Civil_13,Parola
14,VSP,1st,Civil,A,1st_Civil_14,1st_Civil_14,Parola
15,OLV,1st,Civil,A,1st_Civil_15,1st_Civil_15,Pune
16,QRN,1st,Civil,A,1st_Civil_16,1st_Civil_16,Dhule
17,FPO,1st,Civil,A,1st_Civil_17,1st_Civil_17,Mumbai
18,YJT,1st,Civil,A,1st_Civil_18,1st_Civil_18,Amalner
19,EPG,1st,Civil,A,1st_Civil_19,1st_Civil_19,Dhule
20,NRX,1st,Civil,A,1st_Civil_20,1st_Civil_20,Chopda
21,HSQ,1st,Civil,A,1st_Civil_21,1st_Civil_21,Parola
22,IED,1st,Civil,A,1st_Civil_22,1st_Civil_22,Amalner
23,QBM,1st,Civil,A,1st_Civil_23,1st_Civil_23,Dharangaon
24,IPL,1st,Civil,A,1st_Civil_24,1st_Civil_24,Shindkheda
25,VIS,1st,Civil,A,1st_Civil_25,1st_Civil_25,Dharangaon
26,YXX,1st,Civil,A,1st_Civil_26,1st_Civil_26,Pachora
27,SSE,1st,Civil,A,1st_Civil_27,1st_Civil_27,Dharangaon
28,UGC,1st,Civil,A,1st_Civil_28,1st_Civil_28,Amalner
29,ZLU,1st,Civil,A,1st_Civil_29,1st_Civil_29,Pachora
30,FAO,1st,Civil,A,1st_Civil_30,1st_Civil_30,Shindkheda
31,KOA,1st,Civil,A,1st_Civil_31,1st_Civil_31,Parola
32,XRH,1st,Civil,A,1st_Civil_32,1st_Civil_32,Mumbai
33,CZI,1st,Civil,A,1st_Civil_33,1st_Civil_33,Chopda
34,EQD,1st,Civil,A,1st_Civil_34,1st_Civil_34,Mumbai
35,VKQ,1st,Civil,A,1st_Civil_35,1st_Civil_35,Mumbai
36,JDK,1st,Civil,A,1st_Civil_36,1st_Civil_36,Pachora
37,JZM,1st,Civil,A,1st_Civil_37,1st_Civil_37,Parola
38,EPO,1st,Civil,A,1st_Civil_38,1st_Civil_38,Shirpur
39,PWQ,1st,Civil,A,1st_Civil_39,1st_Civil_39,Dharangaon
40,FNB,1st,Civil,A,1st_Civil_40,1st_Civil_40,Pune
41,YBI,1st,Civil,A,1st_Civil_41,1st_Civil_41,Chopda
42,OWS,1st,Civil,A,1st_Civil_42,1st_Civil_42,Parola
43,WLN,1st,Civil,A,1st_Civil_43,1st_Civil_43,Shindkheda
44,BXD,1st,Civil,A,1st_Civil_44,1st_Civil_44,Pachora
45,VOD,1st,Civil,A,1st_Civil_45,1st_Civil_45,Dharangaon
46,WBW,1st,Civil,A,1st_Civil_46,1st_Civil_46,Chalisgaon
47,GAL,1st,Civil,A,1st_Civil_47,1st_Civil_47,Shindkheda
48,QKU,1st,Civil,A,1st_Civil_48,1st_Civil_48,Parola
49,CMO,1st,Civil,A,1st_Civil_49,1st_Civil_49,Mumbai
50,OPR,1st,Civil,A,1st_Civil_50,1st_Civil_50,Mumbai
51,SGM,1st,Civil,A,1st_Civil_51,1st_Civil_51,Parola
52,FIY,1st,Civil,A,1st_Civil_52,1st_Civil_52,Chalisgaon
53,IYG,1st,Civil,A,1st_Civil_53,1st_Civil_53,Pune
54,XTG,1st,Civil,A,1st_Civil_54,1st_Civil_54,Pachora
55,XBB,1st,Civil,A,1st_Civil_55,1st_Civil_55,Pune
56,BSF,1st,Civil,A,1st_Civil_56,1st_Civil_56,Dharangaon
57,YMV,1st,Civil,A,1st_Civil_57,1st_Civil_57,Bhadgaon
58,QGG,1st,Civil,A,1st_Civil_58,1st_Civil_58,Bhadgaon
